Crop,CropType,IdealSoilType,Nitrogen,Phosphorus,Potassium,Temperature,Humidity,pH_Value,Rainfall
rice,Cereal,Clayey,80,40,40,25,80,6.5,200
maize,Cereal,Sandy Loam,80,40,20,23,65,6.0,150
chickpea,Pulse,Loamy,40,60,80,21,70,6.5,90
kidneybeans,Pulse,Sandy Loam,20,60,20,24,70,6.0,110
pigeonpeas,Pulse,Black Soil,20,60,20,25,65,6.5,120
mothbeans,Pulse,Sandy Loam,20,40,20,26,65,6.0,80
mungbean,Pulse,Loamy,20,40,20,27,70,6.5,95
blackgram,Pulse,Sandy Loam,40,60,20,26,70,6.0,105
lentil,Pulse,Loamy,40,60,20,24,65,6.5,85
pomegranate,Fruit,Sandy Loam,20,20,40,23,65,6.5,125
banana,Fruit,Loamy,100,75,50,27,80,6.5,220
mango,Fruit,Sandy Loam,20,20,30,28,65,5.5,180
grapes,Fruit,Sandy Loam,20,125,200,24,80,6.0,160
watermelon,Fruit,Sandy,20,20,20,25,70,6.0,150
muskmelon,Fruit,Sandy Loam,120,60,40,26,65,6.5,140
apple,Fruit,Loamy,20,125,200,22,70,6.0,175
orange,Fruit,Loamy,20,20,30,23,80,6.0,165
papaya,Fruit,Sandy Loam,50,50,50,27,70,6.5,170
coconut,Fruit,Sandy Loam,20,20,30,28,80,6.0,250
cotton,Fiber,Black Soil,100,40,40,25,70,6.5,175
jute,Fiber,Loamy,80,40,40,24,75,6.5,160
coffee,Beverage,Sandy Loam,100,20,30,23,70,6.0,150
